ID,WinRate_Sorted_Champions,PickRate_Sorted_Champions
--5jAcVcNfJ4-8VA4Q-p_RbEFfbnKlpXUoncfgsZkGCojHw,"['Ezreal', 'Smolder', 'Ashe']","['Smolder', 'Jhin', 'Ashe', 'Ezreal']"
-0aDbshnQgxqW8N0sfnTvN50E-YBV8GMs5B3czf9pyPPQjagdxKR1_4YZg,"['Skarner', 'Jax', 'Graves', 'Nidalee']","['Skarner', 'Nidalee', 'Graves', 'Viego']"
-2B34y-6rJ8pU5xl6F0KSrrHv5rLnR5A5CQwdAm9gJKJCbs,"['Elise', 'Ashe', 'Blitzcrank', 'Viego', 'Jhin']","['Jhin', 'Caitlyn', 'Ashe']"
-2DDDKXaUHauoHHwwF_s8xXnvu_Rcr261T63U5k8ecgONYI,"['Gangplank', 'Poppy', 'Lulu']","['Poppy', 'Karma', 'Gangplank', 'Lulu']"
-2GXF0hCwCbKc4S_1j8YsIFmorYqkjiOlKQ2nxVO2wo75pRPh0ROoVzrdg,['Galio'],"['Ekko', 'Hwei']"
-3HyHtH4G_H4Kx0I4zIR3YzoqVQ5rhcH8DfN7IKsk0lkBVIfEMNoCrhw-Q,"['Heimerdinger', 'Irelia']","['Irelia', 'Heimerdinger']"
-3lzE8aMiVyrW-yQW_1NNne56wrK5fCLeHReEG2SKXlXbUQ,"['Jhin', 'Jinx', 'Zeri', 'Caitlyn']",['Jhin']
-4-NLgm4MTY2q8mvOdVe7FpUWBIVHyd0kOD3EvVLveQZ_FPHrlesOlxglA,"['Alistar', 'Lulu', 'Rell', 'Nautilus', 'Poppy']","['Rell', 'Lulu', 'Nautilus']"
-42r_bHWyO0FZekplI3DB0GYE_UAchXeMe0875tLE5F0lQA2bskpRnU_Pg,"['Graves', 'Shyvana', 'Viego', 'Lillia', 'Taliyah']","['Shyvana', 'Graves', 'Taliyah', 'Lillia', 'Ekko']"
-4lfEYH_0SGZApXWYkUJk-73JxUfNzO-UBkJINzJMHfZFw,"['Alistar', 'Blitzcrank', 'Leona', 'Lulu', 'Rammus', 'Senna', 'Shaco']","['Alistar', 'Senna', 'Lulu', 'Shaco', 'Blitzcrank', 'Leona']"
-55cu_M0O5vOhXrG88LYOcqZDQu_x03-BYzSnRiLDEVsp_b1TT06lKymAQ,"['Pyke', 'Blitzcrank', 'Ezreal', 'Senna', 'Alistar', 'Thresh', 'Seraphine', 'Yuumi']","['Thresh', 'Pyke', 'Senna', 'Alistar']"
-5Qdho_cAoF3EoypBoLIHzSO94CeZ6RZ7khPVFtYaTxSWDwXqoEEzizM5Q,"['Kalista', 'Aphelios', 'Ashe']","['Jhin', 'Kalista', 'Ashe']"
-6yc_HPn5bBilUiz2uSjMHR09xqHCMxMvAFOrrIRI0KbtWc,['Mordekaiser'],"['Renekton', 'Mordekaiser']"
-7Ggl1LGQE311SsQo-vW26IpH7X1zqGZbqHICl8GgtdlLio,"['Jinx', 'Jhin', 'Yone', 'Aphelios']","['Aphelios', 'Jhin']"
-8s3DlYdOYBMyQnBxDNnpLLk459psdE0QBEcCBlloSGpPKA,['Sylas'],['Aurora']
-8tZLjOXL2apVJ7jYJTat0uqYqyDVyW6d2fKbmNdQLTJz9O7,['Fizz'],['Fizz']
-99ebvHwdfH0fr79bGHgf-_Xs9briT_Q-LH3N0x-p9-Eo_0sx6OGCAqyTA,['Zed'],['Zed']
-9dR5--zy-X03osdCTuCpBY6dRwfTtdbDIyJW3L-ObfjY3Q,['Cassiopeia'],['Cassiopeia']
-9n6-wnfoNj5S1vz5FpMgFwbvlU1zQWpWcHL1w5WxY7vOeac,"['Pyke', 'Leona', 'Karma', 'Alistar', 'Rell']","['Alistar', 'Poppy', 'Rell']"
-AqmgwaXU-wrWlb1gvwuJxWnmFeKK8ObMaw_rjYqy9C0hn8TX9Fz8eq9AA,"['Nidalee', 'Kindred', 'Viego', 'Diana', 'Gwen', 'Graves']","['Viego', 'Diana', 'Graves']"
-Bg3o6zCIj3s0_IUx2mzuQamhU3_j0RUvkhF6plb2xrrzz0AYsM2paYaNw,"['Yuumi', 'Nautilus', 'Leona', 'Alistar', 'Rell']","['Rell', 'Alistar', 'Yuumi', 'Nautilus']"
-CIhXX3flFr6LyeQJFwEUPDEycj2nyFvTK9OxVktK_xkMKt9bnURhzCBVg,"['Skarner', 'Nidalee']","['Nidalee', 'Skarner', 'Viego']"
-CL0_7k-AtpcrO7u3BKT8JQW6QsX1jH6pI48gV9tKtU6xckNHqwzutcUxQ,"['Camille', 'Darius', 'Garen', 'Malphite', 'Renekton']","['Renekton', 'Aatrox', 'Nasus']"
-DNXor1HSr1JTLhLmvUITVbTQSkZfngqB_bcBtRNf-5-47g,"['Skarner', 'Jhin']","['Skarner', 'Jhin']"
-DnD5K4wmN99n3Dam2EWSC7qpX0yJZC-jjEIV9BF1mPlqJeBMRcdv8uK_A,['Shaco'],['Shaco']
-EB0rmpm43aoXKpsdTIuqvjqPeq0ihAGxI_x4T1iUgAikAjh_4NufYRBcg,"['Lulu', 'Soraka']","['Soraka', 'Lulu']"
-FGV8OokbeMaJV5dvKZpM2zjx5V3wyK49mZWQSet9SZrWK6j,"['Nidalee', 'Lillia', 'Taliyah', 'Viego']","['Nidalee', 'Graves', 'Viego']"
-Fir93mJl3ZufZT4nvUlFx-UfWtCdhgK9mUDArkxrucqmQ,"['Sylas', 'Fiora', 'Tryndamere']","['Fiora', 'Tryndamere', 'Sylas']"
-H7oQHmoB-paFg8K8ymuG_vyHSxEC9P9RcjHBHqh1lJIIjYcsfbL8K4_0A,"['Akali', 'Sylas']",['Sylas']
-I-4LbhTy4oNvsYrumJOYsE-Qd65cVh-Fb0tWgX3bmrV_sp4QXjOaATY9w,"['Vladimir', 'Fizz']","['Vladimir', 'Fizz']"
-KMx8FQKDe9le2vivTNOk10soa0QLjvhcDfX80zxG5GzsnY,['Irelia'],"['Irelia', 'Yone']"
-KlRB95ndOfWLmzLCUafDaHsYnIa5zz5Cg7ayIfo52gtbZY,"['Jayce', 'Viego', 'Gnar']",['Jinx']
-NpVjtC0fQCjUQZmnRzkZX6j1E97gmcQ3rnau7edr64DMgJY,"['Viego', 'Akali', 'Jhin', 'Ezreal', 'Yone']","['Ezreal', 'Jhin']"
-P0h2lr2ItnkxtwUUsaiocEWT667bo85O5sYpOh65E64vwWTAyrbWPvuFA,"['Graves', 'Jhin', 'Nidalee', 'Taliyah', 'Viego']","['Viego', 'Taliyah']"
-POKY7ROyMTWy_GBpnj6qk4rpMkWyzy9p4XxjUqA8nmaqpY,"['Ashe', 'Jhin']","['Ashe', 'Jhin']"
-Q5Wv7noI3v7Wq3OLF6y1PBViyNBI3e46u-FtGhsRpqS-DS-xP7g6hCpFg,"['Yone', 'Blitzcrank', 'Jhin']","['Blitzcrank', 'Malphite']"
-QAa3E78w9hfGRRhJtCO57qxOvNWIj1MYZrH0zlf7PtJDPljGCEXsOoGLw,"['Lillia', 'Graves', 'Nidalee', 'Talon', 'Kindred']","['Nidalee', 'Talon', 'Graves']"
-QQHnj8lroGwY3hvGd3b1vOibX9bCiGwLyyXGECwcPYtVle-qptbJeNVnA,"['Jax', 'Rumble', 'Renekton', 'Jayce', 'Camille', 'Aurora', 'Gwen']",['Aurora']
-QSxzmvIlKq-TrfS2cAwRqk_yiM7Xd0gNoGE9kwLUvi6Eg,"['Ashe', 'Blitzcrank', 'Braum', 'Jhin']","['Leona', 'Ashe', 'Jhin', 'Taric', 'Blitzcrank']"
-S2cur2ch7ep6u8vV6-86rEjx-0_rUGDeAosp0_AW8fJ2A,"['Braum', 'Senna', 'Xerath', 'Morgana', 'Blitzcrank', 'Lux']","['Senna', 'Lux', 'Xerath']"
-TFq0RMDpDrD8CMktCijdiKb3L7L7hMCMpP-fRbvKKnxzA9YWJhp37jWww,"['Tristana', 'Ahri', 'Corki', 'Hwei', 'Syndra', 'Jayce', 'Orianna']","['Aurora', 'Syndra', 'Hwei']"
-UNI9PIr4vxGAzm9O8hu6efRav85deDPYpckHLN6DGQ50VjygkocCtAQxA,"['Kalista', 'Caitlyn', 'Ashe']","['Kalista', 'Ashe', 'Jhin', 'Aphelios']"
-Ub7A3RmPa1IpJeRpt9vnZw4TAPTuHfWY-01qHv4wyqgQIw,"['Veigar', 'Anivia', 'Poppy']","['Senna', 'Veigar', 'Anivia', 'Poppy']"
-VxbUQtxP7NFGT0mi0Y1dxQ0Vnh_ZbO_8HZzohAnDdkyV3gDcs-cf4fOyQ,"['Gnar', 'Poppy', 'Renekton', 'Gragas', 'Mordekaiser']","['Poppy', 'Renekton', 'Gragas', 'Mordekaiser']"
-XDzCY9hgf15a09hcJHmX9x69MI5GiTU886Ra7rzbIEthrS2iGTkDrJY2A,"['Kalista', 'Gnar']","['Jayce', 'Jax']"
-XLOPUhdDpRMwiclk4BjXvBWeXiG1FIyeN-nmRpCJQ2kDrU,"['Kassadin', 'Aurora', 'Briar']","['Kassadin', 'Briar', 'Leona']"
-YZPZbKv-nxLoTfHiFJ7Ooc0yJHUcKiwSaK4YnpOHHPDHqte,"['Renekton', 'Yone', 'Gnar']","['Gnar', 'Aatrox', 'Renekton', 'Yone']"
-Z9k9UCTS5zRKr6YY3f0P1t6ti7mlTzIGfomedlkRDXdPjQ,"['Quinn', 'Viego']","['Viego', 'Yasuo']"
-ZpVGjKo7EIxnPKz_qKVXWEpxT85Y7oC2ljz5JAwdxqKjaM,"['Zoe', 'Yone']","['Orianna', 'Aurora', 'Syndra', 'Yone']"
-_PRzjfm4vTjfZTHH4dlxLlxRI2HkLsyoSoqwzlQOVij5LK3__eHdy0rXw,"['Aurora', 'Hwei']","['Hwei', 'Naafiri', 'Aurora', 'Orianna', 'Smolder']"
-_Saw9mJlMqu2oTj4Gjsgq2OaLD2woRDC7KYJLp1px_pJg,"['Gwen', 'Kennen', 'Gnar']","['Renekton', 'Gwen']"
-_YtaNiJDtZSWTGdemxE7RC84YVNWD4K0vv_po7xI-bO7IQ,"['Graves', 'Lillia', 'Nidalee', 'Taliyah', 'Viego']","['Graves', 'Viego']"
-_kck68GP_ztsn9hNAvJPmzxtGSceyBl8KfEnaLQqP-h5g,"['Darius', 'Volibear', 'Nasus']","['Volibear', 'Nasus', 'Gnar']"
-aMDoaIuT-6ld7NyelIdinLwHd-P8ch0C1aOFHDw6OjEZz_pGP7nRppQew,"['Blitzcrank', 'Braum', 'Bard', 'Rakan', 'Rell', 'Thresh']",['Thresh']
-bCqdMfA_2pmwjhknH_qjGI3BAl-DiGZqUGAgkk0mr-CIl8,['Quinn'],"['Warwick', 'Quinn']"
-c2UD8zuF00dS6vO0pwDSK_o5PdYTcGehtJ-Ur78kEhfyys,"['Ahri', 'Caitlyn', 'Jayce', 'Ryze', 'Jhin']","['Ezreal', 'Jhin', 'Ryze', 'Gnar']"
-cMA7Pb0Rrtdwwi52IdeP6uPTTVA112TJrCRlFXEgkeisBY,"['Aatrox', 'Hwei', 'Yasuo', 'Vladimir']","['Yone', 'Hwei', 'Vladimir']"
-c_r9H3JZpjJT3Ym6GXHR3x3cdUW_vw3Nf4QvsPbpIkrs2M,"['Draven', 'Jhin', 'Ezreal']","['Jhin', 'Ashe', 'Ezreal']"
-eXz7wT6JAbQi14GHd6ZQ04NtuiLvFNNCEhoZy4yh56f8Mg,"['Karma', 'Thresh', 'Nautilus']","['Thresh', 'Hwei', 'Morgana', 'Nautilus', 'Karma']"
-eqwrN4B_birWfsIMW1IPKPj8xaB1otr73EGr7vk81tIslvr,"['Ashe', 'Zeri']","['Ezreal', 'Jhin', 'Zeri', 'Ashe']"
-fS0ZD5T0x59YpVieeTIFWDWTi36b8e3OMbX5lTnfdnAZe2qkeulEiVq2Q,"['Azir', 'Hwei']",['Azir']
-g2ruBqcnHPTgdCkr6X1YxWfEDaHR4EdV8PNYaYZK8x9_fvzEgBsfVR0og,"['Zeri', 'Aurora', 'Lucian', 'Corki']","['Lucian', 'Yone', 'Zeri', 'Corki']"
-g6_uR7T6u50fJSfvhqsxIKorHq7kT3IPgoYb0mMXQ4KzYqmvQhaSAF_qw,['Olaf'],['Olaf']
-iEI19BDpdJamAPZLkSuVgZKlKU53SZnSwJY2A35Knd2cg,"['Ahri', 'Katarina']",['Katarina']
-ifju-JVuy-v94lq0NC79BJ2kfj6SufsLfvV9QZfYbETryg,"['Camille', 'Fiora', 'Gnar', 'Jayce', 'Kennen', 'Mordekaiser', 'Renekton']","['Gnar', 'Renekton', 'Fiora', 'Camille', 'Kennen']"
-jBcj00Iqb__N5C80nXD8UetCb7M8TZq8Qu8IlcZAfbrAFY,"['Ezreal', 'Caitlyn', 'Jhin', 'Jinx', 'Zeri']","['Jinx', 'Jhin', 'Aphelios']"
-k4Jo1uLOpsH0Zv0f4O7tpelPWM7JwXVoN6wtFuMKvKASw,"['Thresh', 'Bard', 'Amumu', 'Pyke']","['Bard', 'Amumu', 'Pyke']"
-kfUprpQfIMh3YEtEV3Qj_lOipqiOBzVVP8aGFQ78RvdK8g,"['Seraphine', 'Syndra', 'Lucian', 'Cassiopeia', 'Orianna', 'Tristana', 'Hwei']","['Hwei', 'Ahri', 'Tristana', 'Syndra']"
-lUj9YAnCxp8ZvrNX3nqPPi7baPiLy5ZD4MjTcRbwos6P8E,"['Orianna', 'Rakan', 'Ahri']","['Ahri', 'Orianna', 'Syndra']"
